7CA61A53,"Name","Title","Place publication","Publisher","Date of publication"
966CCE87,"Orwell, George","England your England","London","Penguin","2017"
966CCE87,"Orwell, George","England your England","London","Penguin","2017"
107A651E,"Orwell, George","The road to Wigan Pier","London","Penguin","2014"
47FCCE44,"Orwell, George","The road to Wigan Pier","London","Harvill Secker","2018"
FBA307E7,"Orwell, George","The road to Wigan Pier","London","HarperCollins","2021"
FBA307E7,"Orwell, George","The road to Wigan Pier","London","HarperCollins","2021"
B4B84072,"Orwell, George","The road to Wigan Pier","Oxford","Oxford University Press","2021"
A61B5351,"Orwell, George","The road to Wigan Pier","London","Arcturus","2021"
FBA307E7,"Orwell, George","The road to Wigan Pier","London","HarperCollins","2021"
6D5831EB,"Orwell, George","The road to Wigan Pier","London","Macmillan","2021"
A4C0247B,"Orwell, George","The road to Wigan Pier","London","Arcturus Digital","2021"
107A651E,"Orwell, George","The road to Wigan Pier","London","Penguin","2014"
E73831FA,"Orwell, George","Orwell and politics : Animal Farm in the context of essays, reviews and letters selected from The complete works of George Orwell","London","Penguin","2020"
0E918BE1,"Orwell, George","Fascism and democracy","London","Penguin","2020"
0E918BE1,"Orwell, George","Fascism and democracy","London","Penguin","2020"
9744AFD4,"Orwell, George","Notes on nationalism","London","Penguin","2018"
73DF2FE8,"Orwell, George","Orwell on freedom","London","Harvill Secker","2018"
254586BD,"Orwell, George","Orwell on freedom","London","Vintage Digital","2018"
A748797B,"Orwell, George","The lion and the unicorn","London","Penguin","2018"
2FE08188,"Orwell, George","The lion and the unicorn : socialism and the English genius","London","Penguin","2018"
E2735D04,"Armstrong, Stephen","The road to Wigan Pier revisited","London","Constable","2012"
24B176A0,"Orwell, George","Down and out in Paris and London","London","Harvill Secker","2020"
F3B7FFE2,"Orwell, George","Down and out in Paris and London","London","Harper","2021"
F3B7FFE2,"Orwell, George","Down and out in Paris and London","London","Harper","2021"
D06422F8,"Orwell, George","Down and out in Paris and London","Oxford","Oxford University Press","2021"
1B9A0776,"Orwell, George","Down and out in Paris and London","London","Arcturus","2021"
0F93C2EC,"Orwell, George","Down and out in Paris and London","London","Vintage Classics","2021"
F3B7FFE2,"Orwell, George","Down and out in Paris and London","London","Harper","2021"
1C63B5A8,"Orwell, George","Down and out in Paris and London","London","Macmillan","2021"
C9218745,"Orwell, George","Politics and the English language","London","Renard Press","2021"
C9218745,"Orwell, George","Politics and the English language","London","Renard Press","2021"
ADAE8197,"Orwell, George","Animal farm","Oxford","Oxford University Press","2021"
EF4E649A,"Orwell, George","Nineteen eighty-four","London","Penguin","2020"
EE1C1595,"Orwell, George","Animal farm","London","Penguin","2020"
4EEB9FFB,"Orwell, George","Animal farm : the graphic novel","London","Penguin","2019"
4EEB9FFB,"Orwell, George","Animal farm : the graphic novel","London","Penguin","2019"
FCFA73A5,"Orwell, George","Animal farm : the graphic novel","London","Penguin","2020"
4A097717,"Wilson, SeÃ¡n Michael","The illustrated Orwell - Such, such were the joys","Oxford","New Internationalist","2021"
C2BB6C07,"Orwell, George","Nineteen eighty-four","London","Penguin","2021"
9C60D6E4,"Orwell, George","The art of Donald McGill","","Greaves & Thomas","2009"
1C0AA3D0,"Ervin, Andrew","Burning down George Orwell's house","New York","Soho","2015"
35EC439C,"Ervin, Andrew","Burning down George Orwell's house","New York","Soho","2016"
1167A8E0,"Gupta, Ashis","Animal farm 2017 : an adaptation of George Orwell's classic dystopian novel","Calgary","Bayeux Arts","2018"
8CD568E4,"Goldstein, Philip","Communities of cultural value : reception study, political differences, and literary history","Lanham, Maryland ; Lexington","","2001"
7510098B,"BiegajÅ‚o, BartÅ‚omiej","Totalitarian (in) experience in literary works and their translations : between east and west","Newcastle upon Tyne","Cambridge Scholars","2018"
A742C8B2,"Icke, Robert","1984","London","Oberon","2013"
70058A93,"Holman, Robert","Rafts and dreams : &, Outside whale","London","Bloomsbury","2014"
8E45A9AA,"Icke, Robert","1984","London","Oberon","2014"
8E45A9AA,"Icke, Robert","1984","London","Oberon","2014"
D993FA3B,"Orwell, George","Politics vs. literature","London","Renard Press","2021"
D993FA3B,"Orwell, George","Politics vs. literature","London","Renard Press","2021"
273365C4,"Smith, David N.","George Orwell illustrated","Chicago","Haymarket","2018"
3021A0B6,"Orwell, George","Nineteen eighty-four","London","Penguin","2013"
9FB69CC9,"Orwell, George","Down and out in Paris and London","London","Penguin","2013"
98DAC2DC,"Colls, Robert","George Orwell : English rebel","Oxford","Oxford University Press","2013"
CEE3C8A8,"Orwell, George","Such, such were the joys","London","Penguin","2014"
7A3030FC,"Orwell, George","Burmese days","London","Penguin","2014"
425CFDEE,"Orwell, George","Keep the aspidistra flying","London","Penguin","2014"
425CFDEE,"Orwell, George","Keep the aspidistra flying","London","Penguin","2014"
FF36ACF6,"Al-Jubouri, Firas A. J. (Firas Adnan Jabbar)","Milestones on the road to dystopia : interpreting George Orwell's self-division in an era of 'force and fraud'","Newcastle upon Tyne","Cambridge Scholars","2014"
285551A4,"Waldron, Carmel","Animal farm : George Orwell","Oxford","Oxford University Press","2014"
F7FE6B49,"Duffy, Mike","Animal farm","London","Hodder Education","2015"
AC59E63E,"Orwell, George","Animal farm","London","Penguin","2015"
A1CFB9FA,"Colls, Robert","George Orwell : English rebel","Oxford","Oxford University Press","2015"
D1F823B3,"Opalinska, Wanda","Animal farm : George Orwell","Harlow, Essex ; London","Pearson ; York","2015"
4FF61280,"Radford, Kevin","Animal farm for GCSE","London","Hodder Education","2016"
7065E085,"Saunders, Loraine","The unsung artistry of George Orwell : the novels from Burmese days to Nineteen eighty-four","London","Routledge","2016"
56F70B81,"Sutherland, John","Orwell's nose : a pathological biography","London","Reaktion","2016"
4FF61280,"Radford, Kevin","Animal farm for GCSE","London","Hodder Education","2016"
41DAFA83,"Brennan, Michael G.","George Orwell and religion","London","Bloomsbury","2016"
8D562A30,"Sutherland, John","Orwell's nose : a biography","London","Reaktion","2016"
BEF7BDDF,"Burns, Paul","Animal farm : AQA GCSE English literature","London","Collins","2017"
5238D0D2,"Sutherland, John","Orwell's nose : a pathological biography","London","Reaktion","2017"
9D12322E,"Opalinska, Wanda","Animal farm : George Orwell","Harlow","Pearson","2015"
BA9DCF81,"Rodden, John","George Orwell : the politics of literary reputation","London","Routledge","2017"
B8E39213,"Williams, Kristian","Between the bullet and the lie : essays on Orwell","Chico, California","AK Press","2017"
4030EC35,"Orwell, George","Nineteen eighty-four","London","Vintage","2018"
430945EC,"Orwell, George","A life in letter and diaries","London","Folio Society","2017"
78843614,"Newsinger, John","Hope lies in the proles : George Orwell and the left","London","PlutoPress","2018"
B9B5BA58,"Crook, Tim","George Orwell on the radio : his works in sound drama and documentary","London","Routledge","2018"
72772551,"Ostrom, Hans A.","Orwell's 'politics and the English language' in the age of pseudocracy","London","Routledge","2018"
72772551,"Ostrom, Hans A.","Orwell's 'politics and the English language' in the age of pseudocracy","London","Routledge","2018"
7CF07B9B,"Crick, Bernard","George Orwell : a life","London","Harvill Secker","2018"
BFE05B8F,"Orwell, George","Nineteen eighty-four","London","Penguin","2018"
