Name,Title,Place publication,Publisher,Date of publication
82E3686A,"Orwell, George","England your England","London","Penguin","2017"
82E3686A,"Orwell, George","England your England","London","Penguin","2017"
380A3117,"Orwell, George","The road to Wigan Pier","London","Penguin","2014"
5E4827FC,"Orwell, George","The road to Wigan Pier","London","Harvill Secker","2018"
45C8CA42,"Orwell, George","The road to Wigan Pier","London","HarperCollins","2021"
45C8CA42,"Orwell, George","The road to Wigan Pier","London","HarperCollins","2021"
3B0A6587,"Orwell, George","The road to Wigan Pier","Oxford","Oxford University Press","2021"
F8D9DD4C,"Orwell, George","The road to Wigan Pier","London","Arcturus","2021"
45C8CA42,"Orwell, George","The road to Wigan Pier","London","HarperCollins","2021"
4B1CF225,"Orwell, George","The road to Wigan Pier","London","Macmillan","2021"
05F1662D,"Orwell, George","The road to Wigan Pier","London","Arcturus Digital","2021"
380A3117,"Orwell, George","The road to Wigan Pier","London","Penguin","2014"
5FB33F63,"Orwell, George","Orwell and politics : Animal Farm in the context of essays, reviews and letters selected from The complete works of George Orwell","London","Penguin","2020"
9250FA57,"Orwell, George","Fascism and democracy","London","Penguin","2020"
9250FA57,"Orwell, George","Fascism and democracy","London","Penguin","2020"
D4F1B779,"Orwell, George","Notes on nationalism","London","Penguin","2018"
E864EECC,"Orwell, George","Orwell on freedom","London","Harvill Secker","2018"
98CB6B5E,"Orwell, George","Orwell on freedom","London","Vintage Digital","2018"
DE733AFE,"Orwell, George","The lion and the unicorn","London","Penguin","2018"
AC1A5F1F,"Orwell, George","The lion and the unicorn : socialism and the English genius","London","Penguin","2018"
EF9FEF30,"Armstrong, Stephen","The road to Wigan Pier revisited","London","Constable","2012"
9E79D962,"Orwell, George","Down and out in Paris and London","London","Harvill Secker","2020"
2735FDA0,"Orwell, George","Down and out in Paris and London","London","Harper","2021"
2735FDA0,"Orwell, George","Down and out in Paris and London","London","Harper","2021"
21C73A07,"Orwell, George","Down and out in Paris and London","Oxford","Oxford University Press","2021"
75CD8942,"Orwell, George","Down and out in Paris and London","London","Arcturus","2021"
1AB23B8B,"Orwell, George","Down and out in Paris and London","London","Vintage Classics","2021"
2735FDA0,"Orwell, George","Down and out in Paris and London","London","Harper","2021"
31835E45,"Orwell, George","Down and out in Paris and London","London","Macmillan","2021"
F495FA48,"Orwell, George","Politics and the English language","London","Renard Press","2021"
F495FA48,"Orwell, George","Politics and the English language","London","Renard Press","2021"
F897BC55,"Orwell, George","Animal farm","Oxford","Oxford University Press","2021"
4F5041D7,"Orwell, George","Nineteen eighty-four","London","Penguin","2020"
6B02282E,"Orwell, George","Animal farm","London","Penguin","2020"
27DC581D,"Orwell, George","Animal farm : the graphic novel","London","Penguin","2019"
27DC581D,"Orwell, George","Animal farm : the graphic novel","London","Penguin","2019"
E4A510DC,"Orwell, George","Animal farm : the graphic novel","London","Penguin","2020"
32DEE15A,"Wilson, SeÃ¡n Michael","The illustrated Orwell - Such, such were the joys","Oxford","New Internationalist","2021"
57E8B4B6,"Orwell, George","Nineteen eighty-four","London","Penguin","2021"
F63B7321,"Orwell, George","The art of Donald McGill","","Greaves & Thomas","2009"
6B003BA9,"Ervin, Andrew","Burning down George Orwell's house","New York","Soho","2015"
91B91724,"Ervin, Andrew","Burning down George Orwell's house","New York","Soho","2016"
7BF89BC7,"Gupta, Ashis","Animal farm 2017 : an adaptation of George Orwell's classic dystopian novel","Calgary","Bayeux Arts","2018"
3155CD3B,"Goldstein, Philip","Communities of cultural value : reception study, political differences, and literary history","Lanham, Maryland ; Lexington","","2001"
95B669A3,"BiegajÅ‚o, BartÅ‚omiej","Totalitarian (in) experience in literary works and their translations : between east and west","Newcastle upon Tyne","Cambridge Scholars","2018"
10A69813,"Icke, Robert","1984","London","Oberon","2013"
72A8D6AF,"Holman, Robert","Rafts and dreams : &, Outside whale","London","Bloomsbury","2014"
40E10067,"Icke, Robert","1984","London","Oberon","2014"
40E10067,"Icke, Robert","1984","London","Oberon","2014"
6BC90633,"Orwell, George","Politics vs. literature","London","Renard Press","2021"
6BC90633,"Orwell, George","Politics vs. literature","London","Renard Press","2021"
0DEF0B78,"Smith, David N.","George Orwell illustrated","Chicago","Haymarket","2018"
EAAE4ADE,"Orwell, George","Nineteen eighty-four","London","Penguin","2013"
A3720AE3,"Orwell, George","Down and out in Paris and London","London","Penguin","2013"
83DD8D0D,"Colls, Robert","George Orwell : English rebel","Oxford","Oxford University Press","2013"
EDB9D5BE,"Orwell, George","Such, such were the joys","London","Penguin","2014"
351651DC,"Orwell, George","Burmese days","London","Penguin","2014"
6DA44419,"Orwell, George","Keep the aspidistra flying","London","Penguin","2014"
6DA44419,"Orwell, George","Keep the aspidistra flying","London","Penguin","2014"
CB32808C,"Al-Jubouri, Firas A. J. (Firas Adnan Jabbar)","Milestones on the road to dystopia : interpreting George Orwell's self-division in an era of 'force and fraud'","Newcastle upon Tyne","Cambridge Scholars","2014"
FC038C8E,"Waldron, Carmel","Animal farm : George Orwell","Oxford","Oxford University Press","2014"
98F9F3CD,"Duffy, Mike","Animal farm","London","Hodder Education","2015"
24569964,"Orwell, George","Animal farm","London","Penguin","2015"
2EF982F6,"Colls, Robert","George Orwell : English rebel","Oxford","Oxford University Press","2015"
893E7C3F,"Opalinska, Wanda","Animal farm : George Orwell","Harlow, Essex ; London","Pearson ; York","2015"
6315304A,"Radford, Kevin","Animal farm for GCSE","London","Hodder Education","2016"
B4637A5D,"Saunders, Loraine","The unsung artistry of George Orwell : the novels from Burmese days to Nineteen eighty-four","London","Routledge","2016"
42A9D936,"Sutherland, John","Orwell's nose : a pathological biography","London","Reaktion","2016"
6315304A,"Radford, Kevin","Animal farm for GCSE","London","Hodder Education","2016"
F6A762FF,"Brennan, Michael G.","George Orwell and religion","London","Bloomsbury","2016"
4613287A,"Sutherland, John","Orwell's nose : a biography","London","Reaktion","2016"
E64239CD,"Burns, Paul","Animal farm : AQA GCSE English literature","London","Collins","2017"
F2F8B2FF,"Sutherland, John","Orwell's nose : a pathological biography","London","Reaktion","2017"
0CB34F81,"Opalinska, Wanda","Animal farm : George Orwell","Harlow","Pearson","2015"
C859D265,"Rodden, John","George Orwell : the politics of literary reputation","London","Routledge","2017"
395359CE,"Williams, Kristian","Between the bullet and the lie : essays on Orwell","Chico, California","AK Press","2017"
E101D226,"Orwell, George","Nineteen eighty-four","London","Vintage","2018"
34B6B3B2,"Orwell, George","A life in letter and diaries","London","Folio Society","2017"
68C31681,"Newsinger, John","Hope lies in the proles : George Orwell and the left","London","PlutoPress","2018"
F9E36428,"Crook, Tim","George Orwell on the radio : his works in sound drama and documentary","London","Routledge","2018"
AFADEE83,"Ostrom, Hans A.","Orwell's 'politics and the English language' in the age of pseudocracy","London","Routledge","2018"
AFADEE83,"Ostrom, Hans A.","Orwell's 'politics and the English language' in the age of pseudocracy","London","Routledge","2018"
360126A5,"Crick, Bernard","George Orwell : a life","London","Harvill Secker","2018"
749AB366,"Orwell, George","Nineteen eighty-four","London","Penguin","2018"
EB3F0593,"Orwell, George","Animal farm","London","Penguin","2018"
68C31681,"Newsinger, John","Hope lies in the proles : George Orwell and the left","London","PlutoPress","2018"
CDF228A2,"Crick, Bernard","George Orwell : a life","London","Vintage Digital","2018"
4F118B98,"Orwell, George","Burmese days","London","Harvill Secker","2018"
1DC7DEA2,"Orwell, George","Keep the aspidistra flying","London","Harvill Secker","2018"
557C3498,"Orwell, George","Coming up for air","London","Harvill Secker","2018"
42BF443C,"Orwell, George","Animal farm","London","Harvill Secker","2018"
BF907AAD,"Orwell, George","Nineteen eighty-four","London","Harvill Secker","2018"
820D9CC7,"Orwell, George","A clergyman's daughter","London","Harvill Secker","2018"
B6290BE0,"Laursen, Eric","The duty to stand aside : Nineteen eighty-four and the wartime quarrel of George Orwell and Alex Comfort","Edinburgh","AK Press","2018"
